rank,dead,online,name,level,class,id,experience,account,challenges,twitch,ladder
14,false,false,StolenSSF,100,Necromancer,44d24cd3203b41d6c2ca5d9c40c6be78d82ceb12c66fe3e6163a115e766fe120,4250334444,jonas1234,25,null,SSF Harbinger HC
14,false,false,YoloNou_FallofOriath,100,Inquisitor,d6f671295b63d6129e9ab396a13b9262070adec972d7830fecff61e7688cfc4d,4250334444,minaBLe78,23,yolonou,Hardcore Harbinger
14,false,false,beobio_grace,100,Ascendant,f98e6b97aacead1644ee7832d18aad1428e32adb0196ee02f8c564b8b62458cb,4250334444,TishaVosemsot,40,beobio,SSF Harbinger
15,false,false,Nikona,100,Necromancer,01570a32397beab3e611b592e02c5a9761b81c37384a96af9c57a96bfaf08a21,4250334444,nikoon,28,null,SSF Harbinger HC
15,false,false,PantlessOneHundred,100,Guardian,23b4b90e0c4b1f05398e4d1a9451d15b128a38b9ac985855cf8c2ba5aea9c0b1,4250334444,mirkula,40,mirkula,Harbinger
15,false,false,shardfarmer,100,Ascendant,68a7901653baa5f1216fe8f7f496be773160d23664966da1d6355d58da8230d6,4250334444,oxzer,40,null,SSF Harbinger
15,false,false,LordikHateOneShot,100,Chieftain,b39df9a2d605e83b3f0a958f25ea300f9d0585cdcf086a8fee0832b0250932e4,4250334444,Lord1k,27,lord1k1337,Hardcore Harbinger
16,false,false,Bogpilled,100,Champion,1635c331ccc2fcd272a378290ac9ee7e9bdbe9f500c88b06fad8fa29d45be9e5,4250334444,Exif,36,vinktard,SSF Harbinger HC
16,false,false,Xzept,100,Champion,3de059c9d6019dbf3e31522830ef1e01fc300351784f899f712181c63000d04d,4250334444,Xzept239,40,xzept239,Harbinger
16,false,false,Grosseplotee,100,Necromancer,455c61c7f00ab39a754e81c85a29a646ac132085c09f023cb43e43bbfceac677,4250334444,xxownxagexx,24,null,Hardcore Harbinger
16,false,false,SSF_Harb_KEITARO,100,Berserker,c4cb2e3296d9cdb7a9a36670002120103e2d19f955b3a62d398c990fbb440434,4250334444,k3itar0,39,null,SSF Harbinger
